,P/E,P/B,EV/EBITDA,Revenue CAGR (5Y),EPS CAGR (5Y),ROE,P/E_Rank,P/B_Rank,EV/EBITDA_Rank,Revenue CAGR (5Y)_Rank,EPS CAGR (5Y)_Rank,ROE_Rank,Fundamental_Score
FI,10.959741506228042,,,0.08028019575952694,0.39332938718848487,,0.8538461538461538,0.5,0.5,0.5973597359735974,0.9201680672268907,0.5,0.6299914078350304
FIS,23.50328019862069,,,0.027369838399798674,0.5677042157118901,,0.49230769230769234,0.5,0.5,0.3234323432343234,0.9537815126050421,0.5,0.5398380928913835
FIVE,31.844253569442966,,,0.1081952472236698,-0.025405713838831057,,0.29230769230769227,0.5,0.5,0.7326732673267327,0.3907563025210084,0.5,0.4831915332774389
FLUT,333.17547919266053,,,0.19134991151579084,,,0.011538461538461497,0.5,0.5,0.9042904290429042,0.5,0.5,0.5651123381568927
FMC,5.169551873350923,,,-0.05585808824208871,-0.2185121936058736,,0.9538461538461538,0.5,0.5,0.08250825082508251,0.11134453781512606,0.5,0.20313036143627294
FNB,12.430805058064516,,,0.0886486268752602,0.008000340000481332,,0.8076923076923077,0.5,0.5,0.6402640264026402,0.4579831932773109,0.5,0.4921867566523944
FOUR,28.407557351916378,,,0.3454422071157097,,,0.3653846153846154,0.5,0.5,0.9570957095709571,0.5,0.5,0.5940689261233816
FRFHF,9.135753325247103,,,0.033048301726729123,0.10270231642073169,,0.9038461538461539,0.5,0.5,0.35973597359735976,0.6134453781512605,0.5,0.4547454777798401
FSLR,21.575511125008127,,,0.1289414726109206,0.39880194294827365,,0.5615384615384615,0.5,0.5,0.8151815181518152,0.9285714285714286,0.5,0.6937709897363362
FULT,11.101705807586677,,,0.07934282083890043,-0.008247798254187533,,0.85,0.5,0.5,0.5907590759075908,0.41596638655462187,0.5,0.46385244196688585
GAP,10.650023431279621,,,-0.03273345315357368,0.48792041270181397,,0.8653846153846154,0.5,0.5,0.10231023102310231,0.9411764705882353,0.5,0.47631266520317195
GATX,19.733818550316677,,,0.08034947059291153,0.245196083008139,,0.6230769230769231,0.5,0.5,0.6006600660066007,0.8403361344537815,0.5,0.5974263292521883
GE,48.79720992800488,,,-0.11832653467249132,,,0.11923076923076925,0.5,0.5,0.036303630363036306,0.5,0.5,0.28660637217567914
GEN,25.8435686718507,,,0.12064792126134516,-0.10279789798545258,,0.42307692307692313,0.5,0.5,0.7656765676567657,0.25630252100840334,0.5,0.45457910125207734
GEV,95.22614103092783,,,0.019113647309752624,,,0.06538461538461537,0.5,0.5,0.2871287128712871,0.5,0.5,0.36632965219598884
GM,11.215142519307589,,,0.13854404662130015,-0.01649477028567614,,0.8423076923076923,0.5,0.5,0.8481848184818482,0.39915966386554624,0.5,0.5417972131731597
GMED,110.80485605530956,,,0.3802546122040127,-0.1992124871866241,,0.050000000000000044,0.5,0.5,0.9603960396039604,0.12605042016806722,0.5,0.46309509942590904
GOOGL,33.73145343023233,,,0.10754330242226517,0.12605005014260273,,0.26538461538461533,0.5,0.5,0.7194719471947195,0.6848739495798319,0.5,0.5735919036312164
GS,17.261594109274306,,,-0.03386684400278661,-0.11991919658837069,,0.6884615384615385,0.5,0.5,0.09900990099009901,0.2184873949579832,0.5,0.234468672465178
GSK,37.89170946485437,,,0.0830711475662369,-0.16740400075549078,,0.20769230769230773,0.5,0.5,0.6204620462046204,0.16806722689075632,0.5,0.3715284240124077
HAL,9.259238922031187,,,0.14473918947053788,0.2033082987749839,,0.9,0.5,0.5,0.8613861386138614,0.7857142857142857,0.5,0.6736409712399811
HBAN,12.808579430927836,,,0.07221956269893393,0.10864736967097355,,0.7961538461538462,0.5,0.5,0.5511551155115512,0.6302521008403361,0.5,0.5188291401861582
HCSG,31.14815190899648,,,0.014747902117420608,-0.03981560918939575,,0.3076923076923077,0.5,0.5,0.26732673267326734,0.3697478991596639,0.5,0.32563899893544623
HIG,11.942283643844423,,,0.06815497099282908,0.1451560044252993,,0.823076923076923,0.5,0.5,0.5313531353135313,0.726890756302521,0.5,0.5446984955444477
HOG,6.543300452172691,,,-0.009427514958085026,-0.06478403834268764,,0.9346153846153846,0.5,0.5,0.16501650165016502,0.3445378151260504,0.5,0.3050923324394495
HOLX,,,,-0.10556140278513515,-0.21560150877035156,,0.5,0.5,0.5,0.0429042904290429,0.11764705882352941,0.5,0.177179188507086
HON,22.466994369851008,,,0.03830970182245874,0.03028457239004223,,0.5269230769230769,0.5,0.5,0.38943894389438943,0.48739495798319327,0.5,0.4108684540076503
HSY,16.24753913649094,,,0.07683591344994745,0.15194638357620605,,0.7115384615384616,0.5,0.5,0.5676567656765676,0.7394957983193278,0.5,0.556875865349948
HUM,24.083013991714996,,,0.12338739868414739,-0.23985475337148343,,0.4769230769230769,0.5,0.5,0.7722772277227723,0.09243697478991597,0.5,0.40526288504739294
HWM,70.63090623722944,,,0.1432798904383381,0.6770463344160211,,0.07692307692307687,0.5,0.5,0.858085808580858,0.9747899159663865,0.5,0.7065820463752903
IBAB.BR,34.09155430671134,,,0.16759067497655256,0.33883768202830167,,0.2615384615384615,0.5,0.5,0.8877887788778878,0.8991596638655462,0.5,0.6978095259428981
IBM,48.029531425535446,,,0.030460065935723035,0.0062017089082269106,,0.12307692307692308,0.5,0.5,0.33993399339933994,0.453781512605042,0.5,0.37039343688732157
IDCC,24.762548612156802,,,0.2685971068871069,0.9888265825053164,,0.4538461538461539,0.5,0.5,0.9504950495049505,0.9831932773109243,0.5,0.7519102446766978
INCY,643.5640474628239,,,0.12405428659428486,-0.6661506699709598,,0.007692307692307665,0.5,0.5,0.7755775577557755,0.008403361344537815,0.5,0.36338354229734543
INTC,,,,-0.12411337018932977,,,0.5,0.5,0.5,0.0297029702970297,0.5,0.5,0.2971534653465347
INVH,38.41532784187417,,,0.09465479470369598,0.1803380350230399,,0.19999999999999996,0.5,0.5,0.66996699669967,0.7647058823529411,0.5,0.5812686856920986
IQV,28.045234435542607,,,0.0355077115784328,0.14446232479815646,,0.38076923076923075,0.5,0.5,0.36633663366336633,0.7226890756302521,0.5,0.47495899654606705
ITW,20.455874935779818,,,0.032226011590597015,0.11179295381557308,,0.5884615384615385,0.5,0.5,0.34983498349834985,0.6428571428571429,0.5,0.4505736590142531
J,22.896897266196333,,,-0.06549759934304067,0.2540242972027136,,0.5076923076923077,0.5,0.5,0.06930693069306931,0.8529411764705882,0.5,0.42498704508459895
JNJ,33.425417027157685,,,0.040974479889682724,-0.09676376181013724,,0.28076923076923077,0.5,0.5,0.40264026402640263,0.2689075630252101,0.5,0.33594535148408183
